# Experiment Info:
# Start_Time: 20250120_104409
# OSC_IP: 127.0.0.1
# OSC_Port: 5002
# Log_Path: \\megstoreemo2.uni-muenster.de\EmoData\trajdos\EmoScenesApp\logs\ShamScenes_20250120_104409.txt
#
# Format for break lines:
# BREAK,<time>,<reason>,<details>
#
Timestamp,Trial,StimFile,StimON,StimOFF,Stim_Duration,Target_ITI,Actual_ITI,ITI_Error,EEGConnected
1737441651.837473,27595,checkerboard195.png,1737441651.238407,1737441651.837473,0.599066,2.283230,2.320150,0.036920,1
1737441653.821802,27596,checkerboard195_inverted.png,1737441653.221536,1737441653.821802,0.600267,1.361310,1.384063,0.022753,1
1737441656.905514,27597,checkerboard195.png,1737441656.306506,1737441656.905514,0.599009,2.469686,2.484704,0.015018,1
1737441660.030501,27598,checkerboard195_inverted.png,1737441659.429198,1737441660.030501,0.601303,2.511518,2.523684,0.012166,1
1737441662.035980,27599,checkerboard195.png,1737441661.432548,1737441662.035980,0.603432,1.392752,1.402047,0.009294,1
1737441664.157813,27600,checkerboard195_inverted.png,1737441663.561137,1737441664.157813,0.596675,1.520080,1.525158,0.005078,1
1737441667.066966,27601,checkerboard225.png,1737441666.466258,1737441667.066966,0.600708,2.272343,2.308445,0.036102,1
1737441670.042484,27602,checkerboard225_inverted.png,1737441669.444497,1737441670.042484,0.597987,2.354108,2.377531,0.023422,1
1737441672.820593,27603,checkerboard225.png,1737441672.218440,1737441672.820593,0.602153,2.165903,2.175956,0.010053,1
1737441674.961929,27604,checkerboard225_inverted.png,1737441674.364528,1737441674.961929,0.597401,1.538233,1.543936,0.005703,1
1737441677.608689,27605,checkerboard255.png,1737441677.007494,1737441677.608689,0.601195,2.032592,2.045565,0.012973,1
1737441680.951046,27606,checkerboard255_inverted.png,1737441680.349765,1737441680.951046,0.601281,2.713595,2.741076,0.027481,1
1737441683.854665,27607,checkerboard255.png,1737441683.253573,1737441683.854665,0.601092,2.279941,2.302526,0.022586,1
1737441685.946533,27608,checkerboard255_inverted.png,1737441685.348631,1737441685.946533,0.597902,1.487584,1.493967,0.006382,1
1737441688.012825,27609,checkerboard195.png,1737441687.413180,1737441688.012825,0.599645,1.429025,1.466646,0.037622,1
1737441690.618988,27610,checkerboard195_inverted.png,1737441690.022002,1737441690.618988,0.596986,1.985481,2.009177,0.023696,1
