CrossTime,SceneTime,PicDuration,Target_ITI,Actual_ITI,ITI_Error,Block,Trial,Stimulus
1729162461.286218,1729162463.482289,0.600000,2.794085,2.792330,-0.001755,1,6,highpos_14.jpg
1729162464.078072,1729162465.798371,0.600000,2.313577,2.316082,0.002505,1,7,highpos_16.jpg
1729162466.392605,1729162468.334974,0.600000,2.546808,2.536603,-0.010205,1,8,neutral_21.jpg
1729162468.930365,1729162470.918897,0.600000,2.586866,2.583923,-0.002944,1,9,neutral_08.jpg
1729162471.514973,1729162473.324649,0.600000,2.406134,2.405752,-0.000381,1,10,lowpos_12.jpg
1729162473.916789,1729162475.561687,0.600000,2.240999,2.237038,-0.003961,1,11,neutral_23.jpg
1729162476.156050,1729162478.147625,0.600000,2.593756,2.585938,-0.007818,1,12,lowneg_08.jpg
1729162478.741013,1729162479.424614,0.600000,1.285279,1.276989,-0.008290,1,13,lowpos_09.jpg
1729162480.016579,1729162480.908882,0.600000,1.491022,1.484268,-0.006755,1,14,lowneg_06.jpg
1729162481.501033,1729162482.430102,0.600000,1.525654,1.521220,-0.004433,1,15,lowpos_06.jpg
1729162483.019202,1729162484.178995,0.600000,1.755593,1.748893,-0.006701,1,16,highpos_01.jpg
1729162484.765930,1729162486.920845,0.600000,2.757180,2.741850,-0.015329,1,17,highneg_17.jpg
1729162487.513085,1729162488.951843,0.600000,2.030396,2.030998,0.000602,1,18,lowpos_18.jpg
1729162489.529039,1729162491.746806,0.600000,2.816335,2.794963,-0.021372,1,19,highneg_15.jpg
1729162492.339752,1729162494.357615,0.600000,2.623175,2.610809,-0.012366,1,20,highneg_05.jpg
1729162494.947640,1729162496.271676,0.600000,1.917613,1.914061,-0.003552,1,21,lowneg_11.jpg
1729162496.856909,1729162497.411385,0.600000,1.158966,1.139709,-0.019257,1,22,highpos_17.jpg
1729162498.003046,1729162498.467738,0.600000,1.069588,1.056353,-0.013236,1,23,highpos_08.jpg
1729162499.058793,1729162500.424907,0.600000,1.972158,1.957169,-0.014989,1,24,lowpos_30.jpg
1729162501.015135,1729162503.031691,0.600000,2.613376,2.606784,-0.006592,1,25,highpos_09.jpg
1729162503.623557,1729162504.638948,0.600000,1.613109,1.607257,-0.005853,1,26,lowpos_08.jpg
1729162505.228114,1729162507.189223,0.600000,2.555641,2.550275,-0.005365,1,27,neutral_03.jpg
1729162507.802642,1729162509.803669,0.600000,2.630376,2.614446,-0.015930,1,28,lowneg_10.jpg
1729162510.396823,1729162512.456758,0.600000,2.661650,2.653089,-0.008561,1,29,highneg_22.jpg
1729162513.046686,1729162514.367466,0.600000,1.923869,1.910708,-0.013161,1,30,neutral_10.jpg
1729162514.957994,1729162516.165469,0.600000,1.809907,1.798003,-0.011904,1,31,highpos_10.jpg
1729162516.756171,1729162517.707431,0.600000,1.541705,1.541962,0.000257,1,32,highpos_05.jpg
1729162518.299525,1729162520.118097,0.600000,2.417987,2.410666,-0.007321,1,33,highneg_12.jpg
1729162520.710901,1729162522.131746,0.600000,2.023310,2.013649,-0.009661,1,34,lowpos_24.jpg
1729162522.723476,1729162524.776485,0.600000,2.654418,2.644739,-0.009679,1,35,highneg_18.jpg
1729162525.366465,1729162527.703215,0.600000,2.942532,2.926730,-0.015802,1,36,lowpos_20.jpg
1729162528.297340,1729162529.808465,0.600000,2.117661,2.105250,-0.012411,1,37,highneg_07.jpg
1729162530.408921,1729162531.623591,0.600000,1.821203,1.815126,-0.006077,1,38,lowpos_32.jpg
1729162532.215393,1729162533.035912,0.600000,1.418271,1.412321,-0.005950,1,39,neutral_19.jpg
1729162533.626680,1729162535.331694,0.600000,2.298388,2.295782,-0.002607,1,40,lowpos_07.jpg
1729162535.922253,1729162536.927984,0.600000,1.601480,1.596290,-0.005190,1,41,highpos_19.jpg
1729162537.521556,1729162539.435949,0.600000,2.511486,2.507965,-0.003521,1,42,highpos_22.jpg
1729162540.029414,1729162540.458350,0.600000,1.031244,1.022401,-0.008843,1,43,lowneg_02.jpg
1729162541.052613,1729162542.569107,0.600000,2.122076,2.110757,-0.011318,1,44,neutral_14.jpg
1729162543.160923,1729162544.128421,0.600000,1.563052,1.559314,-0.003738,1,45,lowpos_29.jpg
1729162544.719208,1729162547.079618,0.600000,2.959317,2.951197,-0.008120,1,46,highneg_04.jpg
1729162547.673595,1729162548.407072,0.600000,1.333059,1.327454,-0.005605,1,47,lowpos_28.jpg
1729162549.001378,1729162550.393863,0.600000,1.989476,1.986791,-0.002685,1,48,lowneg_24.jpg
1729162550.981367,1729162552.769937,0.600000,2.388900,2.376074,-0.012825,1,49,lowneg_19.jpg
1729162553.362041,1729162554.131745,0.600000,1.369533,1.361808,-0.007725,1,50,lowpos_22.jpg
1729162554.718260,1729162556.185917,0.600000,2.071780,2.054172,-0.017608,1,51,highpos_07.jpg
1729162556.774537,1729162558.633149,0.600000,2.453689,2.447232,-0.006457,1,52,lowneg_25.jpg
1729162559.228145,1729162560.978007,0.600000,2.342541,2.344858,0.002317,1,53,highpos_12.jpg
